date,book_gross_before,target_gross,multiplier,long_exposure,short_exposure,gross_return,cost,tax,net_return,turnover_oneway,bm_capped_names
2012-12-31,0.818538178593468,0.14,0.1710366158369894,0.06999999999999999,-0.06999999999999998,0.0006776069392370094,0.0,0.0,0.0006776069392370094,0.0,0
2013-01-31,0.8044788383512137,0.14,0.17402570872707007,0.07,-0.07,-0.001425821032378086,0.00016092240497122545,0.0,-0.0015867434373493113,0.04023060124280636,0
2013-02-28,0.8079976242308828,0.14,0.17326783619353248,0.07,-0.07000000000000002,-0.0002241764733071845,0.00012487074240036768,0.0,-0.0003490472157075522,0.031217685600091916,0
2013-03-31,0.8005384190024636,0.14,0.17488230005806776,0.07,-0.07,-2.090699495022291e-05,0.00017412197379729365,0.0,-0.00019502896874751656,0.043530493449323415,0
2013-04-30,0.7998296496837289,0.14,0.1750372720683201,0.07,-0.07,0.0005329070969298934,0.00015066859154239906,0.0,0.0003822385053874943,0.037667147885599765,0
2013-05-31,0.7773723960888015,0.14,0.18009386582850495,0.07,-0.07,-0.0009922032994464337,0.00019742498812001636,0.0,-0.0011896282875664501,0.04935624703000409,0
2013-06-30,0.8258695644743204,0.14,0.16951829444049354,0.07,-0.07,0.0027628570919056893,0.000221654784665705,0.0,0.002541202307239984,0.055413696166426246,0
2013-07-31,0.8478273297618918,0.14,0.16512796307158245,0.07,-0.07000000000000002,0.0001389446947734583,0.00015098547062533795,0.0,-1.204077585187965e-05,0.03774636765633449,0
2013-08-31,0.8507239107407287,0.14,0.1645657283549271,0.07,-0.06999999999999999,-0.0020357125631317845,0.00011714942809802089,0.0,-0.0021528619912298055,0.02928735702450522,0
2013-09-30,0.9351048291444275,0.14,0.14971583467074248,0.06999999999999999,-0.07,-0.0016947402754118523,0.00017585022201189887,0.0,-0.0018705904974237512,0.04396255550297472,0
2013-10-31,0.9470057862429649,0.14,0.14783436599201671,0.07,-0.07,0.001966191139286831,0.00012308855878504648,0.0,0.0018431025805017848,0.03077213969626162,0
2013-11-30,0.9194703025516215,0.14,0.152261578880238,0.07000000000000003,-0.07000000000000002,-0.0004050271026671725,0.00013686557555285119,0.0,-0.0005418926782200236,0.03421639388821279,0
2013-12-31,1.0656944886456965,0.14,0.13136973259373286,0.07,-0.07,0.0023199277884785744,0.00019211578292243042,0.0,0.002127812005556144,0.048028945730607606,0
2014-01-31,1.0231210383910103,0.14,0.13683620485428397,0.07,-0.07,0.000886827009220872,0.00010591354642288342,0.0,0.0007809134627979886,0.026478386605720855,0
2014-02-28,0.989570558231237,0.14,0.14147551059950356,0.07,-0.07,-0.0016835839015923453,0.000151917380252568,0.0,-0.0018355012818449133,0.037979345063141996,0
2014-03-31,1.0117589231965647,0.14,0.13837288388589858,0.07,-0.07,0.0011775555625900313,0.00013758655819137144,0.0,0.0010399690043986598,0.03439663954784286,0
2014-04-30,0.9804907360708764,0.14,0.14278564279048922,0.07,-0.07,0.0003857568529719885,0.00017282589777573858,0.0,0.00021293095519624993,0.04320647444393465,0
2014-05-31,0.9847673191368318,0.14,0.14216556264551183,0.06999999999999999,-0.06999999999999999,-0.00033236466118117104,0.00019094573124444215,0.0,-0.0005233103924256132,0.047736432811110535,0
