factorAbbreviation,factorName,styleName,cagr,tstat,newey_west_tstat,rank_score,rank_style,rank_total
Rev3MFY1C,3M Revision in FY1 EPS Estimate,Analyst Expectations,0.06853023261177627,3.372897651319837,3.258780431189154,3.372897651319837,1.0,1.0
RevMagFY1C,Street Revision Magnitude,Analyst Expectations,0.07136654145838373,3.318890637215202,3.203267567957625,3.318890637215202,2.0,2.0
Rev3MFY2C,3M Revision in FY2 EPS Estimate,Analyst Expectations,0.07368896908751643,3.1624440784968693,3.232789416667244,3.1624440784968693,3.0,3.0
Chg1YAstTo,1Y Chg in Sales Turnover,Historical Growth,0.04735789028074566,3.122391101544613,3.323938712624634,3.122391101544613,1.0,4.0
EPSNumRevFY1C,Number of EPS FY1 Revisions,Analyst Expectations,0.0664368459963276,3.104065995730054,3.1884033190698617,3.104065995730054,4.0,5.0
Chg1YOCF,1Y Chg in Operating Cash Flow per Share,Historical Growth,0.042047364877762394,2.896804774614806,3.157950897962881,2.896804774614806,2.0,6.0
AdjRevMagC,Adjusted Revision Magnitude,Analyst Expectations,0.06207944090431772,2.892439992764337,2.710759293516728,2.892439992764337,5.0,7.0
SUEC,Standardized Unexpected Earnings,Analyst Expectations,0.05943154456200794,2.783222735391594,2.9681102768635577,2.783222735391594,6.0,8.0
FCFSales,Free Cash Flow to Sales,Earnings Quality,0.043347551925108085,2.732645957271224,2.811057626989955,2.732645957271224,1.0,9.0
OCFRatio,Operating Cash Flow Ratio,Capital Efficiency,0.042863385640285356,2.5548708188506706,2.6345415719412535,2.5548708188506706,1.0,10.0
AdjAccruals,Adjusted Accruals,Earnings Quality,0.03657627116907047,2.4882930029839665,2.9004499471537604,2.4882930029839665,2.0,11.0
CFROIC,Cash Flow Return on Invested Capital,Capital Efficiency,0.05165798230730956,2.4739541273731835,2.495709302790039,2.4739541273731835,2.0,12.0
ROEStddev20Q,ROE 20 Qtr Standard Deviation,Earnings Quality,0.04774720892898188,2.435012608034348,2.2076359174076052,2.435012608034348,3.0,13.0
DivperShareGrowth,Dividend per Share Growth,Historical Growth,0.05000453587083342,2.4034330456709596,2.222109550213559,2.4034330456709596,3.0,14.0
6MAvgChg1MRecC,6M Avg Chg 1M Recommendation,Analyst Expectations,0.03396547332760047,2.3863395888578744,2.7630073551189667,2.3863395888578744,7.0,15.0
OCFEV,Operating Cash Flow to Enterprise Value,Valuation,0.05014810454680574,2.345555947469092,2.980455349067182,2.345555947469092,1.0,16.0
Chg3YOCF,3Y Chg in Operating Cash Flow per Share,Historical Growth,0.03495983136387859,2.341836258735163,2.426779602405157,2.341836258735163,4.0,17.0
Chg3YEPS,3Y Chg in Earnings per Share,Historical Growth,0.047777416953175056,2.3338992977119757,2.451653782358551,2.3338992977119757,5.0,18.0
BuyToSellRecLess3MEMA,Buy-to-Sell Recommendation Ratio Less 3M EMA,Analyst Expectations,0.030547995798592575,2.2577662887665877,2.313097573059984,2.2577662887665877,8.0,19.0
ROAStddev20Q,ROA 20 Qtr Standard Deviation,Earnings Quality,0.04505960480838356,2.253202325371379,2.1087151102066812,2.253202325371379,4.0,20.0
OCFEqt,Operating Cash Flow to Equity,Capital Efficiency,0.043500579210333123,2.23681899511526,2.2301787751676176,2.23681899511526,3.0,21.0
FCFEqt,Free Cash Flow to Common Equity,Valuation,0.039360243886262136,2.2274813746486264,2.109124188864235,2.2274813746486264,2.0,22.0
AssetTurn,Asset Turnover,Earnings Quality,0.036796591203438256,2.1542749125891163,2.2420610255758504,2.1542749125891163,5.0,23.0
PAdjChg1YSales,1Y Chg in Sales to Price,Historical Growth,0.034517796956127444,2.14401949932551,2.0487640344818825,2.14401949932551,6.0,24.0
ETO,Equity Turnover,Earnings Quality,0.02841301964597509,2.1261002232748085,2.274644681823994,2.1261002232748085,6.0,25.0
AdjEPSNumRevFY1C,Adjusted Number of EPS FY1 Revisions,Analyst Expectations,0.04502719746742212,2.0767441608345427,2.115349140978032,2.0767441608345427,9.0,26.0
SalesToInvCap,Sales to Invested Capital,Earnings Quality,0.025865101751664676,2.0622500411293885,1.9501099831723876,2.0622500411293885,7.0,27.0
Chg1YFCF,1Y Chg in Free Cash Flow per Share,Historical Growth,0.0321405828302721,2.0197517986398323,2.0614154536627374,2.0197517986398323,7.0,28.0
